Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
2ND_HIGHEST_TOT_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,0
2P_RESERVES_REPL_RATIO_RPTD,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
2P_RESERVES_REPLACEMENT_RATIO,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
2QTR_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,15
2QTR_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,50
2WK_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,10
2WK_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,12
2Y_ASK_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,10
2Y_ASK_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,10
2Y_BID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,10
2Y_BID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,18
2Y_MID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,11
2Y_MID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,17
3_MO_SMM,End of Day Pricing, , , , , , , , , ,Mtge,Real,30
3_MONTH_CDI_RELATED_TRR_LAST_CLS,Derived Data, ,Equity, , , , , , , , ,Real,10
3_YEAR_KEY_RATE_SOVEREIGN_CURVE,Derived Data, , , , , , , ,Index, , ,Real,10
3_YEAR_KEY_RATE_SWAP_CURVE,Derived Data, , , , , , , ,Index, , ,Real,33
3_YR_ANN_CDI_REL_TRR_LST_CLS,Derived Data, ,Equity, , , , , , , , ,Real,34
30_DAY_AVERAGE_TURNOVER_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,0
30_DAY_AVERAGE_VOLUME_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,10
30_DAY_YIELD,Security Master, ,Equity, , , , , , , , ,Real,10
30_MINUTE_PRICE_CHANGE,Derived Data, ,Equity, , , , , ,Index,Curncy, ,Real,30
